,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,STATUS
T1,0,6.96,0,99.781,0,8.12,116.087,598.864,0,603.605,0,8.077,612.071,11.242,0,99.483,0,8.062,120.347,601.008,0,597.992,0,8.056,606.3,25.188,26.875,26.688,25.438,27.25,27.375,0.914,38.521,1995,37.607,1930.97,1930,1995,-15.691,0.726,28.008,0.174,5.399,-37.686,-34.977,47.486,41.065,1935,38.676,4.873,136.485,30.5,8.44,8.16,47.492,41.73,1935,38.682,4.802,134.498,32.063,-37.028,-32.748,47.485,42.386,1962.5,38.806,4.721,132.219,34.438,8.44,8.16,47.497,42.082,1962.5,38.735,4.768,133.545,35.938,-34.676,-30.844,47.486,43.145,1990,39.31,4.638,129.906,37.813,8.12,7.92,47.507,42.911,1990,39.255,4.686,131.247,39.125,0.609,39.414,2195.5,38.805,2110,2110,2200,-16.992,0.711,28.008,0.175,5.399,-35.586,-34.66,47.498,41.219,2115,39.884,4.869,136.365,35.25,8.8,8.52,47.51,41.245,2115,39.822,4.879,136.656,37.688,-33.706,-32.373,47.486,42.199,2155,40.037,4.743,132.844,40.75,8.72,8.48,47.506,41.734,2155,39.949,4.817,134.916,42.438,-33.338,-32.976,47.5,42.958,2195,39.904,4.673,130.9,43.875,8.32,8.08,47.497,42.915,2195,39.844,4.676,130.961,44.875,0,28.008,0.175,5.399,PASS
T2,0,7.565,0,99.921,0,8.268,116.76,605.493,0,600.802,0,8.138,608.702,6.484,0,100.201,0,8.032,115.525,598.164,0,603.975,0,8.035,612.336,21.688,20.875,21.5,21.688,22.688,22.75,1.1,38.825,1995,37.724,1930,1930,1995,-15.857,0.705,28.006,0.176,5.401,-35.339,-32.004,47.502,42.568,1935,38.99,4.719,132.168,28.25,8.64,8.36,47.49,42.313,1935,38.908,4.734,132.595,29.938,-34.811,-30.71,47.511,42.24,1962.5,39.422,4.766,133.482,31.688,8.52,8.28,47.506,42.161,1962.5,39.361,4.769,133.559,33.188,-33.568,-29.32,47.493,43.043,1990,39.756,4.658,130.444,35,8.24,8.04,47.51,42.741,1990,39.687,4.708,131.861,36.188,0.718,40.089,2199.55,39.371,2110,2110,2200,-15.824,0.696,28.006,0.176,5.401,-38.036,-34.624,47.504,40.103,2115,40.558,5.011,140.351,32.938,8.68,8.4,47.495,40.216,2115,40.513,4.987,139.679,34.313,-36.975,-33.761,47.488,41.144,2155,40.767,4.867,136.311,36.375,8.64,8.4,47.497,40.565,2155,40.651,4.947,138.539,37.813,-37.71,-37.949,47.485,42.721,2195,40.469,4.684,131.181,39.438,8.24,8,47.503,42.66,2195,40.41,4.71,131.901,40.438,0,28.006,0.171,5.401,PASS
T3,0,11.771,0,99.833,0,8.269,121.81,604.341,0,597.587,0,8.077,604.661,12.203,0,99.569,0,8.056,122.056,604.082,0,598.195,0,8.062,606.507,21.625,22.125,22.25,21.5,23.313,23.188,1.391,38.247,1995,36.856,1930,1930,1995,-14.938,0.728,28.008,0.175,5.399,-33.273,-30.458,47.498,41.137,1935,38.481,4.879,136.646,29.5,8.52,8.28,47.506,41.053,1935,38.425,4.897,137.169,31.438,-31.538,-28.291,47.505,41.876,1962.5,38.942,4.8,134.441,33.188,8.56,8.32,47.5,41.634,1962.5,38.877,4.823,135.074,34.75,-29.856,-27.104,47.5,43.107,1990,39.612,4.658,130.465,36.938,8.28,8.08,47.508,42.784,1990,39.541,4.702,131.692,38.25,0.343,38.756,2195.5,38.413,2138.8,2110,2200,-17.797,0.718,28.008,0.175,5.399,-32.297,-33.208,47.508,39.731,2115,39.898,5.063,141.804,34.438,8.8,8.52,47.493,39.481,2115,39.818,5.077,142.215,36,-32.086,-32.063,47.501,40.106,2155,39.767,5.008,140.255,38.563,8.88,8.6,47.512,39.791,2155,39.686,5.06,141.717,40.313,-30.763,-30.75,47.498,40.743,2195,39.491,4.926,137.961,42,8.72,8.4,47.497,40.528,2195,39.442,4.951,138.66,43,0,28.008,0.17,5.399,PASS
T4,0,0.62,0,100.481,0,8.281,109.595,597.332,0,602.017,0,8.041,610.505,1.238,0,99.432,0,8.074,109.069,605.663,0,597.654,0,8.031,605.977,22.5,22.313,22.75,22.438,23.313,23.563,1.451,39.753,1995,38.302,1930,1930,1995,-16.327,0.707,28.008,0.176,5.399,-39.701,-35.76,47.51,42.985,1935,39.112,4.682,131.14,29.75,8.36,8.08,47.496,43.238,1935,39.098,4.639,129.927,31.125,-36.074,-31.598,47.507,43.775,1962.5,39.549,4.594,128.664,33,8.24,8,47.501,43.552,1962.5,39.464,4.611,129.151,34.375,-30.748,-28.053,47.502,45.039,1990,40.386,4.46,124.909,36.188,7.76,7.6,47.496,44.628,1990,40.302,4.495,125.899,37.313,0.568,39.977,2192.8,39.409,2119.9,2110,2200,-16.119,0.693,28.008,0.176,5.399,-37.547,-38.21,47.504,42.078,2115,40.204,4.776,133.768,34.75,8.64,8.28,47.489,42.148,2115,40.154,4.752,133.09,36.25,-39.542,-37.822,47.489,42.512,2155,40.424,4.711,131.959,38.75,8.56,8.32,47.487,42.143,2155,40.321,4.75,133.035,40,-37.503,-38.784,47.51,43.744,2195,40.202,4.601,128.863,41.688,8.08,7.88,47.491,43.447,2195,40.128,4.611,129.158,42.75,0,28.008,0.17,5.399,PASS
T5,0,1.043,0,100.018,0,8.214,109.5,600.467,0,602.048,0,8.056,610.49,0.988,0,100.04,0,8.016,109.525,596.313,0,602.225,0,8.086,610.572,22.375,22.875,22.25,23.688,23.688,23.563,1.431,39.657,1995,38.225,1930,1930,1995,-13.627,0.71,28.008,0.175,5.399,-38.592,-40.626,47.507,43.268,1935,38.939,4.647,130.167,29.688,8.16,7.88,47.504,42.941,1935,38.884,4.68,131.076,31.313,-39.493,-37.099,47.507,43.708,1962.5,39.287,4.601,128.864,33,8.2,7.92,47.493,43.375,1962.5,39.207,4.622,129.451,34.625,-35.383,-33.135,47.487,44.112,1990,39.968,4.537,127.09,36.188,8,7.72,47.501,44.204,1990,39.923,4.543,127.239,37.563,0.151,39.592,2110.9,39.441,2200,2110,2200,-18.459,0.701,28.008,0.175,5.399,-38.536,-38.351,47.5,41.069,2115,40.262,4.889,136.937,34.688,8.52,8.2,47.495,40.924,2115,40.195,4.9,137.247,36.125,-41.423,-39.706,47.503,41.224,2155,40.169,4.874,136.512,39.063,8.56,8.28,47.508,40.793,2155,40.073,4.931,138.099,40.625,-37.088,-38.013,47.485,42.336,2195,39.716,4.726,132.371,42.188,8.32,8.04,47.495,42.097,2195,39.625,4.763,133.42,43.5,0,28.008,0.17,5.4,PASS
T6,0,0.806,0,100.518,0,8.09,109.689,599.981,0,602.942,0,8.045,611.458,0.576,0,100.271,0,8.023,108.886,598.447,0,601.439,0,8.06,609.816,27.875,27.563,28.313,27.813,28.688,28.813,0.847,39.487,1993.7,38.639,1932.6,1930,1995,-13.736,0.694,28.006,0.177,5.401,-38.482,-40.437,47.487,44.312,1935,39.215,4.517,126.52,29.938,8.44,8.12,47.498,44.531,1935,39.172,4.507,126.23,31.375,-40.289,-41.339,47.505,44.273,1962.5,39.548,4.541,127.17,33.5,8.48,8.16,47.495,43.926,1962.5,39.486,4.566,127.874,34.875,-41.361,-37.598,47.503,44.231,1990,39.86,4.543,127.231,36.563,8.24,8,47.505,43.976,1990,39.805,4.571,128.016,37.75,0.85,40.575,2200,39.725,2110,2110,2200,-16.4,0.68,28.006,0.177,5.4,-37.911,-37.098,47.496,40.822,2115,40.262,4.914,137.635,34.813,8.28,7.96,47.5,40.85,2115,40.208,4.916,137.669,36.188,-43.851,-38.414,47.486,41.524,2155,40.625,4.82,134.983,38.813,8.2,7.92,47.501,41.451,2155,40.523,4.845,135.699,40.313,-38.286,-41.924,47.495,43.248,2195,40.439,4.638,129.886,41.813,7.84,7.56,47.488,42.983,2195,40.34,4.658,130.464,42.938,0,28.005,0.176,5.401,PASS
T7,0,10.776,0,99.885,0,8.278,120.271,606.256,0,598.089,0,8.092,606.534,8.94,0,99.748,0,8.095,118.06,598.627,0,597.697,0,8.083,605.804,22.438,22.188,21.875,21.625,23,23.375,1.076,37.869,1994.68,36.793,1947.88,1930,1995,-14.556,0.72,28.008,0.172,5.399,-34.27,-31.749,47.493,40.64,1935,38.344,4.932,138.145,29.063,8.52,8.28,47.506,41.043,1935,38.333,4.899,137.203,30.75,-33.25,-29.359,47.511,41.979,1962.5,38.36,4.795,134.293,32.688,8.56,8.32,47.499,41.641,1962.5,38.295,4.82,135,34.25,-32.423,-29.09,47.489,42.778,1990,38.907,4.681,131.116,36.125,8.36,8.08,47.505,43.051,1990,38.882,4.669,130.765,37.5,1.21,39.898,2192.8,38.688,2110,2110,2200,-15.859,0.709,28.008,0.172,5.399,-36.239,-34.844,47.49,41.106,2115,39.685,4.873,136.476,34.063,8.8,8.52,47.502,40.647,2115,39.602,4.942,138.419,35.563,-35.815,-33.703,47.5,41.091,2155,40.159,4.886,136.863,38.125,8.76,8.48,47.508,40.713,2155,40.066,4.94,138.373,39.625,-35.388,-35.156,47.5,42.384,2195,40.111,4.737,132.672,41.563,8.4,8.16,47.493,42.065,2195,40.03,4.766,133.475,42.688,0,28.008,0.167,5.399,PASS
T8,0,8.921,0,99.803,0,8.262,118.348,601.179,0,598.206,0,8.066,606.464,8.405,0,99.405,0,8.023,117.019,603.655,0,597.9,0,8.045,606.157,28.188,29.5,28.813,27.938,29.875,30,1.468,37.215,1995,35.747,1930,1930,1995,-15.8,0.698,28.006,0.173,5.401,-35.805,-32.081,47.493,41.18,1935,37.139,4.868,136.349,32.125,8.24,8.04,47.492,40.519,1935,37.038,4.946,138.534,33.875,-35.736,-31.063,47.489,41.48,1962.5,37.727,4.828,135.217,35.438,8.28,8.08,47.495,41.149,1962.5,37.67,4.874,136.499,37,-33.904,-30.098,47.487,41.725,1990,38.114,4.798,134.385,38.438,8.12,7.92,47.497,41.785,1990,38.08,4.802,134.491,39.563,1.754,40.185,2200,38.432,2110,2110,2200,-14.989,0.694,28.006,0.173,5.401,-34.196,-31.998,47.512,40.454,2115,39.922,4.977,139.399,35.938,8.8,8.56,47.498,40.448,2115,39.89,4.962,138.964,37.375,-34.011,-30.589,47.504,41.603,2155,40.554,4.83,135.287,40,8.28,8.12,47.501,41.522,2155,40.489,4.836,135.454,41.313,-35.495,-33.909,47.486,43.151,2195,40.714,4.638,129.893,42.813,7.72,7.6,47.504,43.03,2195,40.646,4.67,130.798,43.813,0,28.006,0.167,5.401,PASS
T9,0,5.285,0,99.885,0,8.238,114.408,596.997,0,603.033,0,8.156,611.402,3.825,0,100.252,0,8.056,112.839,597.739,0,603.463,0,8.065,611.837,24.813,24.625,24.063,25.063,25.313,25.125,0.733,37.938,1995,37.205,1963.8,1930,1995,-15.132,0.715,28.008,0.172,5.399,-38.967,-35.938,47.511,41.484,1935,38.256,4.852,135.899,28.875,8.44,8.2,47.486,41.606,1935,38.231,4.811,134.733,30.313,-38.104,-32.828,47.493,42.053,1962.5,38.194,4.767,133.513,32.188,8.4,8.2,47.502,42.234,1962.5,38.165,4.756,133.218,33.688,-35.566,-31.094,47.502,43.356,1990,38.761,4.633,129.754,35.375,8.08,7.92,47.509,43.433,1990,38.736,4.632,129.751,36.438,0.517,39.487,2194.15,38.97,2119.45,2110,2200,-15.924,0.708,28.008,0.172,5.399,-35.887,-35.647,47.491,42.351,2115,39.904,4.731,132.516,32.625,8.88,8.56,47.492,42.291,2115,39.863,4.738,132.713,34.125,-36.229,-34.467,47.491,43.247,2155,40.001,4.634,129.776,36.125,8.64,8.4,47.488,42.978,2155,39.934,4.659,130.489,37.563,-35.028,-36.735,47.501,44.123,2195,39.777,4.552,127.488,39.125,8.12,7.88,47.503,43.932,2195,39.731,4.573,128.095,40.188,0,28.008,0.167,5.399,PASS
T10,0,3.896,0,99.635,0,8.305,112.477,598.573,0,603.043,0,8.177,611.688,3.804,0,100.645,0,8.034,113.356,598.968,0,601.057,0,8.107,608.447,25.125,24.563,24.875,25.5,26.063,25.813,1.307,38.076,1994.68,36.77,1930,1930,1995,-15.552,0.712,28.008,0.172,5.399,-36.601,-33.964,47.505,40.351,1935,37.888,4.981,139.523,30.813,8.6,8.36,47.486,40.411,1935,37.869,4.952,138.701,32.438,-34.652,-30.765,47.513,41.3,1962.5,38.322,4.875,136.556,34.625,8.64,8.4,47.51,40.937,1962.5,38.265,4.916,137.695,36.25,-34.476,-30.331,47.508,42.994,1990,39.007,4.678,131.032,37.938,8.4,8.16,47.498,42.695,1990,38.925,4.701,131.66,39.125,1.265,39.444,2193.7,38.179,2110,2110,2200,-16.36,0.706,28.008,0.172,5.399,-34.525,-31.55,47.499,40.222,2115,39.546,4.99,139.776,35.688,8.92,8.64,47.502,40.249,2115,39.5,4.99,139.777,37.313,-33.08,-30.149,47.497,40.357,2155,40.058,4.971,139.232,39.438,8.68,8.44,47.487,39.865,2155,39.949,5.021,140.644,40.875,-35.516,-31.943,47.5,41.711,2195,40.2,4.814,134.822,43.063,8.12,7.92,47.499,41.353,2195,40.099,4.854,135.968,44.125,0,28.008,0.166,5.399,PASS
